Year,Round,GrandPrix,Country,Driver,Team,GridPosition,Position,Points,Status,MeanLapTime,StdLapTime,PitStops,FirstCompound,StintCount,AirTemp,Rainfall,Humidity,WindSpeed,TrackTemp
2018,2,Bahrain Grand Prix,Bahrain,PER,Force India,12,16,0,+1 Lap,99.13339286,6.218566557,2,nan,3,27.98252427,0,47.3631068,0.958252427,32.19805825
2018,2,Bahrain Grand Prix,Bahrain,HAR,Toro Rosso,11,17,0,+1 Lap,99.133875,7.116597333,2,nan,3,27.98252427,0,47.3631068,0.958252427,32.19805825
2018,2,Bahrain Grand Prix,Bahrain,RAI,Ferrari,2,18,0,Wheel,98.16364706,7.384944984,2,nan,2,27.98252427,0,47.3631068,0.958252427,32.19805825
2018,2,Bahrain Grand Prix,Bahrain,VER,Red Bull Racing,15,19,0,Puncture,115.883,17.29441765,1,nan,2,27.98252427,0,47.3631068,0.958252427,32.19805825
2018,2,Bahrain Grand Prix,Bahrain,RIC,Red Bull Racing,4,20,0,Electrical,98.684,,0,nan,0,27.98252427,0,47.3631068,0.958252427,32.19805825
2018,3,Chinese Grand Prix,China,RIC,Red Bull Racing,6,1,25,Finished,100.4982963,9.462532649,2,nan,2,19.44642857,0.017857143,24.08928571,1.8375,37.01964286
2018,3,Chinese Grand Prix,China,BOT,Mercedes,3,2,18,Finished,100.4470926,9.630193306,1,nan,2,19.44642857,0.017857143,24.08928571,1.8375,37.01964286
2018,3,Chinese Grand Prix,China,RAI,Ferrari,2,3,15,Finished,101.617,10.59478707,1,nan,2,19.44642857,0.017857143,24.08928571,1.8375,37.01964286
2018,3,Chinese Grand Prix,China,HAM,Mercedes,4,4,12,Finished,100.7332407,9.305258882,1,nan,2,19.44642857,0.017857143,24.08928571,1.8375,37.01964286
2018,3,Chinese Grand Prix,China,VER,Red Bull Racing,5,5,10,Finished,100.5494074,9.409427331,2,nan,3,19.44642857,0.017857143,24.08928571,1.8375,37.01964286
2018,3,Chinese Grand Prix,China,HUL,Renault,7,6,8,Finished,101.9296182,9.507463837,2,nan,3,19.44642857,0.017857143,24.08928571,1.8375,37.01964286
2018,3,Chinese Grand Prix,China,ALO,McLaren,13,7,6,Finished,102.9824821,9.920161174,1,nan,2,19.44642857,0.017857143,24.08928571,1.8375,37.01964286
2018,3,Chinese Grand Prix,China,VET,Ferrari,1,8,4,Finished,100.9647037,9.606000015,1,nan,2,19.44642857,0.017857143,24.08928571,1.8375,37.01964286
2018,3,Chinese Grand Prix,China,SAI,Renault,9,9,2,Finished,102.203,8.836696521,2,nan,3,19.44642857,0.017857143,24.08928571,1.8375,37.01964286
2018,3,Chinese Grand Prix,China,MAG,Haas F1 Team,11,10,1,Finished,103.1423929,10.55818523,1,nan,2,19.44642857,0.017857143,24.08928571,1.8375,37.01964286
2018,3,Chinese Grand Prix,China,OCO,Force India,12,11,0,Finished,103.2219643,10.51863415,2,nan,3,19.44642857,0.017857143,24.08928571,1.8375,37.01964286
2018,3,Chinese Grand Prix,China,PER,Force India,8,12,0,Finished,103.2340179,9.847902055,2,nan,3,19.44642857,0.017857143,24.08928571,1.8375,37.01964286
2018,3,Chinese Grand Prix,China,VAN,McLaren,14,13,0,Finished,103.3170179,9.498012897,1,nan,2,19.44642857,0.017857143,24.08928571,1.8375,37.01964286
2018,3,Chinese Grand Prix,China,STR,Williams,18,14,0,Finished,103.42625,9.313181398,1,nan,2,19.44642857,0.017857143,24.08928571,1.8375,37.01964286
2018,3,Chinese Grand Prix,China,SIR,Williams,16,15,0,Finished,103.475375,8.599115465,2,nan,3,19.44642857,0.017857143,24.08928571,1.8375,37.01964286
2018,3,Chinese Grand Prix,China,ERI,Sauber,20,16,0,Finished,101.6071852,4.286441384,1,nan,2,19.44642857,0.017857143,24.08928571,1.8375,37.01964286
2018,3,Chinese Grand Prix,China,GRO,Haas F1 Team,10,17,0,Finished,103.6013571,10.446888,2,nan,2,19.44642857,0.017857143,24.08928571,1.8375,37.01964286
2018,3,Chinese Grand Prix,China,GAS,Toro Rosso,17,18,0,Finished,102.3612909,7.545814495,2,nan,3,19.44642857,0.017857143,24.08928571,1.8375,37.01964286
2018,3,Chinese Grand Prix,China,LEC,Sauber,19,19,0,Finished,101.8797037,3.561535023,1,nan,2,19.44642857,0.017857143,24.08928571,1.8375,37.01964286
2018,3,Chinese Grand Prix,China,HAR,Toro Rosso,15,20,0,Collision damage,102.235102,4.330468971,3,nan,2,19.44642857,0.017857143,24.08928571,1.8375,37.01964286
